,Title,Authors,Abstract,Published Date,Journal Title,Volume,Pages,Link
432,Congressional Mobilization of Private Litigants: Evidence from the Civil Rights Act of 1991,Sean Farhang,"Levels of private litigation enforcing statutes are critically determined by legislative choice. I set out a theoretical framework for understanding how legislators purposefully influence the potential economic value of statutory claims, thereby establishing a market for enforcement consistent with legislative preferences. To test the theory, I examine the effects of the Civil Rights Act (CRA) of 1991, which increased the value of employment discrimination claims under the CRA of 1964, and find that the law increased the number of claims filed. The origins and legislative history of the law also reveal that Congress utilized economic incentives as a policy instrument to purposefully increase private litigation, with a high degree of self-consciousness, in the course of conflict with other political actors over control of civil rights policy.",05 March 2009,Journal of Empirical Legal Studies,"Volume 6, Issue 1", 1-34,https://onlinelibrary.wiley.com/doi/10.1111/j.1740-1461.2009.01136.x
433,The Screening Effect of the Private Securities Litigation Reform Act,"Stephen J. Choi, Karen K. Nelson, A. C. Pritchard","Prior research shows that the Private Securities Litigation Reform Act (PSLRA) increased the significance of merit-related factors in determining the incidence and outcomes of securities fraud class actions (Johnson et al. 2007). We examine two possible explanations for this finding: the PSLRA may have reduced the incidence of nonmeritorious litigation, or it may have changed the definition of merit, effectively precluding claims that would have survived and produced a settlement pre-PSLRA. We find no evidence that pre-PSLRA claims that settled for nuisance value would be less likely to be filed under the PSLRA regime. There is evidence, however, that pre-PSLRA nonnuisance claims would be less likely to be filed under the PSLRA regime. The latter result, which we refer to as the screening effect, is particularly pronounced for claims lacking hard evidence of securities fraud or abnormal insider trading. We find only limited evidence of a similar screening effect for case outcomes.",05 March 2009,Journal of Empirical Legal Studies,"Volume 6, Issue 1", 35-68,https://onlinelibrary.wiley.com/doi/10.1111/j.1740-1461.2009.01137.x
434,Intuitive Lawmaking: The Example of Child Support,"Ira Mark Ellman, Sanford Braver, Robert J. MacCoun","Setting the amount of a child support award involves tradeoffs in the allocation of finite resources among at least three private parties: the two parents, and their child or children. Federal law today requires states to have child support guidelines or formulas that determine child support amounts on a uniform statewide basis. These state guidelines differ in how they make these unavoidable tradeoffs. In choosing the correct balance of these competing claims, policymakers would do well to understand the public's intuitions about the appropriate tradeoffs. We report an empirical study of lay intuitions about these tradeoffs, which we compare to the principles underlying typical state guidelines. As in other contexts in which people are asked to place a dollar value on a legal claim, we find that citizen assessments of child support for particular cases conform to the pattern that Ariely and his co-authors have called “coherent arbitrariness”: the respondent's choice of dollar magnitude may be arbitrary, but relative values respond coherently to case variations, within and across citizens. These patterns also suggest that our respondents have a consistent and systematic preference with respect to the structure of child support formulas that differs in important ways from either of the two systems adopted by nearly all states.",05 March 2009,Journal of Empirical Legal Studies,"Volume 6, Issue 1", 69-109,https://onlinelibrary.wiley.com/doi/10.1111/j.1740-1461.2009.01138.x
435,What is the Settlement Rate and Why Should We Care?,"Theodore Eisenberg, Charlotte Lanvers","After establishing the importance of knowledge of settlement rates, this article first shows that different research questions can yield different settlement rates. Using data gathered from about 3,300 federal cases in the Eastern District of Pennsylvania (EDPA) and the Northern District of Georgia (NDGA), differing measures of settlement emerge depending on whether one is interested in (1) settlement as a proxy for plaintiffs' litigation success, or (2) settlement as a measure of litigated disputes resolved without final adjudication. Using settlement as a proxy for plaintiff success, we estimate the aggregate settlement rate across case categories in the two districts to have been 66.9 percent in 2001–2002. Regardless of the method of computing settlement rates, no reasonable estimate of settlement rates supports an aggregate rate of over 90 percent of filed cases, despite frequent references to 90 percent or higher settlement rates. The aggregate rate for the EDPA alone was 71.6 percent and for the NDGA alone was 57.8 percent, suggesting significant interdistrict variation, which persists even within case categories. We report separate settlement rates for employment discrimination, constitutional tort, contract, and tort cases in the two districts. The highest settlement rate was 87.2 percent for tort cases in the EDPA and the lowest was 27.3 percent for constitutional tort cases in the NDGA. Our results suggest a hierarchy of settlement rates. Of major case categories, tort cases tend to have the highest settlement rates, then contract cases, then employment discrimination cases, followed by constitutional tort cases. Attorney fee structure and the nature of the parties may explain settlement rate variation. Our findings provide no evidence of a material change in aggregate settlement rates over time.",05 March 2009,Journal of Empirical Legal Studies,"Volume 6, Issue 1", 111-146,https://onlinelibrary.wiley.com/doi/10.1111/j.1740-1461.2009.01139.x
436,Piercing the Veil of Statewide Data: The Case of Vanishing Trials in North Carolina,Robert Moog,"Marc Galanter's 2003 report to the ABA on the declining rate of trials in federal and state courts has generated a good deal of discussion. This article adds to that literature by narrowing the focus to the fate of trials in one state (North Carolina) between 1987 and 2005, and then moving to the next level to determine if statewide trends are replicated in the six largest counties in the state. Regarding jury trials, the downward trends are quite consistent at both the state and county levels, but bench trials present a far more complex picture. Although the status of bench trials in North Carolina remains unclear, the research emphasizes the importance of the data-collection process, and the necessity of looking to the local level to understand the complexities underlying what can appear as statewide trends.",05 March 2009,Journal of Empirical Legal Studies,"Volume 6, Issue 1", 147-176,https://onlinelibrary.wiley.com/doi/10.1111/j.1740-1461.2009.01140.x
437,"The Expressive Function of Trade Secret Law: Legality, Cost, Intrinsic Motivation, and Consensus",Yuval Feldman,"In recent years, leading legal scholars have proposed many competing models for the expressive function of the law. This article attempts to organize and compare the competing models while examining a real-life dilemma—sharing confidential information when one moves from one company to another—and explores the mechanisms through which the law can affect people's behavior. The article examines the expressive impact that results when trade secret laws are experimentally “primed” on factors such as: intention to share confidential information, morality of sharing confidential information, perceived proportion of other employees who would share confidential information, and the likelihood of social approval by previous and current employers for sharing confidential information. Taking a path analysis approach, I discern which models (cost related, morality related, coordination based, or reflection of consensus) best explain the mechanism responsible for the expressive effect of legality. The comparison between the models illustrates the relative legal repercussions of price, consensus, and intrinsic motivation as they relate to employees' evaluations of the prevalence and desirability of trade secret sharing norms. Based on data collected from a sample of 260 high-tech employees in the Silicon Valley, the article demonstrates that—at least in the context of trade secret law—the expressive impact is based primarily on morality and less on the law's ability to impose social and career costs.",05 March 2009,Journal of Empirical Legal Studies,"Volume 6, Issue 1", 177-212,https://onlinelibrary.wiley.com/doi/10.1111/j.1740-1461.2009.01141.x
438,An Analysis of Ideological Effects in Published Versus Unpublished Judicial Opinions,"Denise M. Keele, Robert W. Malmsheimer, Donald W. Floyd, Lianjun Zhang","Almost without exception, scholars have tested theories of judicial behavior by relying on published case decisions. Though understandable given the inaccessibility of unpublished cases, this focus means that scholars may be drawing conclusions regarding judicial behavior that do not accurately describe the motivational forces behind all judicial decisions. This study employed the attitudinal model of judicial behavior to empirically test whether published judicial opinions are representative of all opinions in litigation challenging the U.S. Forest Service. Results indicate that the effects of ideological preferences are different in published and unpublished opinions issued by appellate judges: judges' decisions followed their ideological preferences in published opinions, but they did not in unpublished opinions. At the district court level, judges did not follow their ideological preferences in either published or unpublished opinions and there was no difference between judges' decisions in published and unpublished opinions. This research supports the contention that the process of judicial decision making in the courts of appeals differs between published and unpublished opinions and that scholars should use caution in drawing conclusions from examinations of published opinions alone.",05 March 2009,Journal of Empirical Legal Studies,"Volume 6, Issue 1", 213-239,https://onlinelibrary.wiley.com/doi/10.1111/j.1740-1461.2009.01142.x
439,Numerical Analysis in Least Squares Regression with an Application to the Abortion-Crime Debate,"William Anderson, Martin T. Wells","Concepts of numerical analysis with applications to least squares problems are introduced in a manner the practitioner can readily apply to his or her own research problems, especially in the social sciences. Numerical analysis is mainly concerned with the accuracy and stability of numerical algorithms. We frame these concerns in terms of forward and backward error, two important concepts in helping understand the quality of the computed answers. The goal of numerical computing is to obtain correct, approximate answers to the true solution. We extended this forward and backward error framework to issues in least squares problems and check the condition of the regression problem via condition numbers. The more ill-conditioned the data are, the more sensitive the computed solution is to perturbations in the data, and the more unstable the computed solutions become. Condition numbers can also be used to signal the presence of solution degrading collinearity in regression problems. We apply the various numerical analysis tools outlined with some model diagnostics to the abortion-crime debate, and show the regression analysis used in various papers addressing the abortion-crime debate cannot be trusted.",03 December 2008,Journal of Empirical Legal Studies,"Volume 5, Issue 4", 647-681,https://onlinelibrary.wiley.com/doi/10.1111/j.1740-1461.2008.00137.x
440,Why Is Elvis on Burkina Faso Postage Stamps? Cross-Country Evidence on the Commercialization of State Sovereignty,Joel Slemrod,"Why would the country of Burkina Faso issue postage stamps featuring Elvis? In part, to make money, one example of what has been called the commercialization of state sovereignty. I could issue stamps, but no one would buy them. But many philatelists (stamp collectors) want countries' stamps, especially those with popular themes like Elvis or Disney characters, in their collection. I examine the commercialization of state sovereignty by first setting out a simple model and then, in the context of the predictions of this model, conduction an empirical examination of what determines whether a country will pursue a set of commercialization opportunities, from the benign to the malign. Three examples are examined: postage stamps, tax havens, and money laundering. The data analysis provides support for the idea that commercialization of state sovereignty is more likely in countries where it is more difficult to raise revenue in alternative ways, and less support for the role of costs of commercialization related to integrity and, for less benign activities, sanctions. The examined examples of commercialization that are more likely to directly raise revenue (stamp pandering and tax havens) are more attractive to poorer countries, and stamp pandering is more attractive to more agricultural countries at a given level of per-capita income. This provides some support to the notion that when revenue is difficult to raise in other ways, revenue-raising commercialization becomes more attractive. Being a tax haven or a stamp panderer is more attractive to small countries, a finding that is consistent with the Slemrod and Wilson (2007) hypothesis about tax havens that the benefits are unrelated to size but the costs are. The results corroborate and extend the Dharmapala and Hines (2007) finding that good governance is associated with tax haven status. Notably, governance has no partial association with the probability of being a money launderer. Thus, there is no evidence that bad governance as measured by the World Bank is associated with international unlawfulness. The fact that governance matters positively for the propensity to be a stamp panderer as well as to be a tax haven expands the Dharmapala-Hines interpretation that governance proxies for a country's credibility, and suggests that governance may also be associated with the capability to undertake domestic-welfare-enhancing activities and may help to explain why more of the most desperately poor nations of the world are not involved in the commercialization of state sovereignty.",03 December 2008,Journal of Empirical Legal Studies,"Volume 5, Issue 4", 683-712,https://onlinelibrary.wiley.com/doi/10.1111/j.1740-1461.2008.00138.x
441,"Eminent Domain and the Psychology of Property Rights: Proposed Use, Subjective Attachment, and Taker Identity","Janice Nadler, Shari Seidman Diamond","The U.S. Supreme Court's decision in Kelo v. City of New London, allowing governments to force the sale of private property to promote economic development, provoked bipartisan and widespread public outrage. Given that the decision in Kelo was rendered virtually inevitable by the Court's earlier public use decisions, what accounts for the dread and dismay that the decision provoked among ordinary citizens? We conducted two experiments that represent an early effort at addressing a few of the many possible causes underlying the Kelo backlash. Together, these studies suggest that the constitutional focus on public purpose in Kelo does not fully, or even principally, explain the public outrage that followed it. Our experiments suggest that subjective attachment to property looms far larger in determining the perceived justice of a taking. We have only begun to map the contours of this response, but these initial findings show promise in helping to build a more democratic model for the law and policies dealing with takings.",03 December 2008,Journal of Empirical Legal Studies,"Volume 5, Issue 4", 713-749,https://onlinelibrary.wiley.com/doi/10.1111/j.1740-1461.2008.00139.x
442,"Nothing But the Truth? Experiments on Adversarial Competition, Expert Testimony, and Decision Making","Cheryl Boudreau, Mathew D. McCubbins","Many scholars debate whether a competition between experts in legal, political, or economic contexts elicits truthful information and, in turn, enables people to make informed decisions. Thus, we analyze experimentally the conditions under which competition between experts induces the experts to make truthful statements and enables jurors listening to these statements to improve their decisions. Our results demonstrate that, contrary to game theoretic predictions and contrary to critics of our adversarial legal system, competition induces enough truth telling to allow jurors to improve their decisions. Then, when we impose additional institutions (such as penalties for lying or the threat of verification) on the competing experts, we observe even larger improvements in the experts' propensity to tell the truth and in jurors' decisions. We find similar improvements when the competing experts are permitted to exchange reasons for why their statements may be correct.",03 December 2008,Journal of Empirical Legal Studies,"Volume 5, Issue 4", 751-789,https://onlinelibrary.wiley.com/doi/10.1111/j.1740-1461.2008.00140.x
443,Takeover Defenses and Competition: The Role of Stakeholders,"K. J. Martijn Cremers, Vinay B. Nair, Urs Peyer","This article studies the interaction between takeover defenses and competition. We find that firms in more competitive industries have more takeover defenses. This suggests that product market competition can be a substitute for the market for corporate control, with more information available in competitive markets making monitoring less costly. A novel instrument for the incentives of stakeholders in the product market to monitor is provided by the nature of the relationship between the firm and its customers. For firms in industries with long-term relationships with customers and suppliers, these stakeholders have greater incentives to monitor. We document that stronger competition is linked to more defenses only in these “relationship” industries. Finally, we discuss the implications for the design of other governance mechanisms.",03 December 2008,Journal of Empirical Legal Studies,"Volume 5, Issue 4", 791-818,https://onlinelibrary.wiley.com/doi/10.1111/j.1740-1461.2008.00141.x
444,Measuring Deviations from Expected Voting Patterns on Collegial Courts,"Paul H. Edelman, David E. Klein, Stefanie A. Lindquist","Even where idiosyncratic factors such as ideology play large and consistent roles in judges' decision making, there are always cases where the patterns of judges' votes confound our expectations. In some ways, these are among the most interesting cases for scholars, raising important questions about judicial behavior and institutions. In the first part of this article, we introduce a quantitative measure of deviations from expected voting patterns intended to allow scholars to systematically study unexpected votes and the questions they raise. In the second part, we illustrate the use of this new measure by developing a preliminary model to predict departures from strict ideological voting in the U.S. Supreme Court in an effort to distinguish alternative explanations for these patterns. Although the conventional wisdom might suggest that disordered voting occurs because of cross-cutting issues, we find little evidence that case complexity is responsible for unexpected coalitions. This result suggests that some alternative explanation exists for such voting behavior; we offer several possibilities—including the influence of legal considerations—in our conclusions.",03 December 2008,Journal of Empirical Legal Studies,"Volume 5, Issue 4", 819-852,https://onlinelibrary.wiley.com/doi/10.1111/j.1740-1461.2008.00142.x
445,Divorce Law and Women's Labor Supply,Betsey Stevenson,"Divorce law changes made in the 1970s affected marital formation, dissolution, and bargaining within marriage. By altering the terms of the marital contract, these legal changes impacted the incentives for women to enter and remain in the labor force. Whereas earlier work suggests that the impact of unilateral divorce on female employment depends critically on laws governing property division, I show that these results are not robust to alternative specifications and controls. I find, instead, that unilateral divorce led to an increase in both married and unmarried female labor force participation, regardless of the preexisting laws regarding property division.",03 December 2008,Journal of Empirical Legal Studies,"Volume 5, Issue 4", 853-873,https://onlinelibrary.wiley.com/doi/10.1111/j.1740-1461.2008.00143.x
446,To Lawyer or Not to Lawyer: Is that the Question?,Herbert M. Kritzer,"A central aspect of much of the debate over access to justice is the cost of legal services. The presumption of most participants in the debate is that individuals of limited or modest means do not obtain legal assistance because they cannot afford the cost of that assistance. The question I consider in this article is whether income is a major factor in the decision to obtain the assistance of a qualified legal professional. Drawing on data from seven different countries (the United States, England and Wales, Canada, Australia, New Zealand, the Netherlands, and Japan), I examine the relationship between income and using a legal professional. The results are remarkably consistent across the seven countries: income has relatively little relationship with the decision to use a legal professional to deal with a dispute or other legal need. The decision to use a lawyer appears to be much more a function of the nature of the dispute. Even those who could afford to retain a lawyer frequently make the decision to forego that assistance, usually at about the same rate as those with limited resources. The analysis suggests that those considering access to justice issues need to grapple with the more general issues of how those with legal needs, regardless of the resources they have available, evaluate the costs and benefits of hiring a lawyer.",03 December 2008,Journal of Empirical Legal Studies,"Volume 5, Issue 4", 875-906,https://onlinelibrary.wiley.com/doi/10.1111/j.1740-1461.2008.00144.x
447,Empirical Research for Public Policy: With Examples from Family Law,Richard Lempert,"Drawing on three family law studies as examples, this article discusses strengths and weaknesses of policy-relevant empirical research. Its main message is that policy-relevant empirical legal research should be encouraged, but the policy relevance of research, especially single studies, should not be oversold. It concludes with five points that consumers of policy-relevant empirical research should keep in mind: (1) do not rest policy change or analysis on a single study, no matter how good it is; (2) when reading the report of an empirical study, look beyond the researcher's bottom line to other relationships revealed in the data; (3) no matter how unversed one is in statistics, commonsense and a close reading of tables, graphs, and methodological narratives can take one a long way; (4) always ask about mechanism: understanding why a situation exists is as important to policy analysis as knowing whether it exists; and (5) if results seem too good to be true, this is often because they are not true.",03 December 2008,Journal of Empirical Legal Studies,"Volume 5, Issue 4", 907-926,https://onlinelibrary.wiley.com/doi/10.1111/j.1740-1461.2008.00145.x
448,"Frequency and Predictors of False Conviction: Why We Know So Little, and New Data on Capital Cases","Samuel R. Gross, Barbara O'Brien","In the first part of this article, we address the problems inherent in studying wrongful convictions: our pervasive ignorance and the extreme difficulty of obtaining the data that we need to answer even basic questions. The main reason that we know so little about false convictions is that, by definition, they are hidden from view. As a result, it is nearly impossible to gather reliable data on the characteristics or even the frequency of false convictions. In addition, we have very limited data on criminal investigations and prosecutions in general, so even if we could somehow obtain data on cases of wrongful conviction, we would have inadequate data on true convictions with which to compare them. In the second part of the article, we dispel some of that ignorance by considering data on false convictions in a small but important subset of criminal cases about which we have unusually detailed information: death sentences. From 1973 on, we know basic facts about all defendants who were sentenced to death in the United States, and we know which of them were exonerated. From these data we estimate that the frequency of wrongful death sentences in the United States is at least 2.3 percent. In addition, we compare post-1973 capital exonerations in the United States to a random sample of cases of defendants who were sentenced in the same time period and ultimately executed. Based on these comparisons, we present a handful of findings on features of the investigations of capital cases, and on background facts about capital defendants, that are modest predictors of false convictions.",03 December 2008,Journal of Empirical Legal Studies,"Volume 5, Issue 4", 927-962,https://onlinelibrary.wiley.com/doi/10.1111/j.1740-1461.2008.00146.x
449,Third-Party Tax Administration: The Case of Low- and Moderate-Income Households,"Michael S. Barr, Jane K. Dokko","Using a unique household-level data set, this article investigates the tax-filing experiences and refund behavior of low- and moderate-income (LMI) households. We document households’ tax-filing behavior, attitudes about the withholding system, use of tax refunds to consume and save, and the mechanisms by which households would prefer to receive their income. We also document the prevalence of the use of tax-preparation services and the receipt of tax refunds and refund-anticipation loans. Finally, we argue that there may be a role for tax administration to enable LMI households to make welfare-improving financial decisions.",03 December 2008,Journal of Empirical Legal Studies,"Volume 5, Issue 4", 963-981,https://onlinelibrary.wiley.com/doi/10.1111/j.1740-1461.2008.00147.x
450,Professional Overcharging in Large Bankruptcy Reorganization Cases,"Lynn M. LoPucki, Joseph W. Doherty","In an empirical study of professional fees and expenses in 74 large public company bankruptcies concluded 1998–2003, we found that (1) controlling for the trend over time and the geographical location of the cases, company size (measured by assets), case duration (measured in days), and the number of parties (measured by the number of professional firms working) explain nearly 87 percent of the case-to-case variation in professional fees, (2) fees and expenses increased about 10.4 percent per year over the six-year period covered by our study, (3) five of six predictors of fees and expenses exhibited a strong scale effect, (4) the scale effect for company size is so severe that reporting fees as a simple percentage of assets is misleading, (5) using the same model we used with court file data, our variables explain 86 percent of the case-to-case variance in the amounts of professional fees and expenses reported in SEC filing data, and (6) fees and expenses reported in SEC filing data are highly correlated with those reported in court file data, but are 58 percent higher. The principal determinants of fees and expenses—assets, days in bankruptcy, and the number of professional firms working—appear to us to measure not only the need for professional services, but also the opportunity for professionals to bill. In an attempt to statistically isolate this “billing opportunity” component of fees and expenses, we compiled a second set of variables—employees, docket length, and reorganization plan classes—that we believe measures case complexity without measuring billing opportunity. When those variables are substituted for the principal determinants, the regression explains substantially the same percentage of variance in fees and expenses. This second, complexity-only model predicts fees that, controlling for scale, are significantly lower for companies with assets greater than about $770 million. We theorize that this systematic difference in the two models' predictions measures the billing opportunity component of fees and expenses in large public company bankruptcies. That component is an overcharge because it is not warranted by the complexity of the cases, including complexity resulting from company size.",03 December 2008,Journal of Empirical Legal Studies,"Volume 5, Issue 4", 983-1017,https://onlinelibrary.wiley.com/doi/10.1111/j.1740-1461.2008.00148.x
451,Case Selection and the Study of Judicial Politics,"Jonathan P. Kastellec, Jeffrey R. Lax","One complication in studying the Supreme Court and the judicial hierarchy is that the Court's docket is now nearly completely discretionary. Although the Justices’ strategies in picking cases affect the observations we make and the inferences we draw, this is rarely taken into account in studies of judicial politics. In this article, we study how case selection can affect our inferences within judicial politics, including those about decision making in the Supreme Court itself (such as whether law constrains the Justices) and throughout the judicial hierarchy (such as whether lower courts comply with Supreme Court doctrine). We use simulation analysis to show that the inferential problems raised by the Court's case selection range from moderate to severe. At stake are substantive conclusions within some of the most important and controversial debates in judicial politics.",05 September 2008,Journal of Empirical Legal Studies,"Volume 5, Issue 3", 407-446,https://onlinelibrary.wiley.com/doi/10.1111/j.1740-1461.2008.00129.x
452,Competition and the Quality of Standard Form Contracts: The Case of Software License Agreements,Florencia Marotta-Wurgler,"Standard form contracts are pervasive. Many legal academics believe that they are unfair. Some scholars and some courts have argued that sellers with market power or facing little competitive pressure may impose one-sided standard form terms that limit their obligation to consumers. This article uses a sample of 647 software license agreements drawn from many distinct segments of the software industry to empirically investigate the relationship between competitive conditions and the quality of standard form contracts. I find little evidence for the concern that firms with market power, as measured by market concentration or firm market share, require consumers to accept particularly one-sided terms; that is, firms in both concentrated and unconcentrated software market segments, and firms with high and low market share, offer similar terms to consumers. The results have implications for the judicial analysis of standard form contract enforceability.",05 September 2008,Journal of Empirical Legal Studies,"Volume 5, Issue 3", 447-475,https://onlinelibrary.wiley.com/doi/10.1111/j.1740-1461.2008.00130.x
453,The Dilemma of the Criminal Defendant with a Prior Record—Lessons from the Wrongfully Convicted,John H. Blume,"This article examines the conventional wisdom that innocent defendants will testify on their own behalf at trial. Data gathered from the cases of persons subsequently exonerated due to DNA evidence demonstrate that factually innocent defendants with criminal records do not testify on their own behalf at substantially higher rates than criminal defendants generally. Why? Ninety-one percent of factually innocent defendants with prior records declined to testify compared to the 55 percent rate at which defendants with prior criminal records declined to testify in a four-county sample of criminal cases. Why the difference? In the innocence cases, the primary reason counsel give for not taking the stand is that many of these individuals had been previously convicted of a crime, and they did not testify at trial because of the risk that their credibility would be impeached with evidence of the prior record, and that, despite any limiting instruction the court might give, the jury would infer that they were guilty based on their prior misdeeds. If one assumes that the defendants in a four-county sample are guilty, and that both the innocence sample and the four-county sample are reasonably representative, then there is a statistically significant association between defendants with criminal records failing to testify and innocence. Because the current legal regime appears to disproportionately discourage defendants, even factually innocent defendants, from telling their story at trial, the law should be changed. Only prior convictions for perjury should be potentially available for impeachment purposes.",05 September 2008,Journal of Empirical Legal Studies,"Volume 5, Issue 3", 477-505,https://onlinelibrary.wiley.com/doi/10.1111/j.1740-1461.2008.00131.x
454,Statins and Adverse Cardiovascular Events in Moderate-Risk Females: A Statistical and Legal Analysis with Implications for FDA Preemption Claims,"Theodore Eisenberg, Martin T. Wells","This article presents: (1) meta-analyses of studies of cardioprotection of women and men by statins, including Lipitor (atorvastatin), and (2) a legal analysis of advertising promoting Lipitor as preventing heart attacks. The meta-analyses of primary prevention clinical trials show statistically significant benefits for men but not for women, and a statistically significant difference between men and women. The analyses do not support (1) statin use to reduce heart attacks in women based on extrapolation from men, or (2) approving or advertising statins as reducing heart attacks without qualification in a population that includes many women. The legal analysis raises the question of whether Lipitor's advertisements, which omit that Lipitor's clinical trial found slight increased risk for women, is consistent with the Food, Drug, and Cosmetics Act and related Food and Drug Administration (FDA) regulations. The analysis suggests that FDA regulation should not preempt state law actions challenging advertising that is not supported by FDA-approved labeling. Our findings suggesting inadequate regulation of the world's best-selling drug also counsel against courts accepting the FDA's claimed preemption of state law causes of action relating to warnings and safety. Courts evaluating preemption claims should consider actual agency performance as well as theoretical institutional competence. Billions of health-care dollars may be being wasted on statin use by women but the current regulatory regime does not create incentives to prevent such behavior.",05 September 2008,Journal of Empirical Legal Studies,"Volume 5, Issue 3", 507-550,https://onlinelibrary.wiley.com/doi/10.1111/j.1740-1461.2008.00132.x
455,Let's Not Make a Deal: An Empirical Study of Decision Making in Unsuccessful Settlement Negotiations,"Randall L. Kiser, Martin A. Asher, Blakeley B. McShane","This study quantitatively evaluates the incidence and magnitude of errors made by attorneys and their clients in unsuccessful settlement negotiations. The primary study analyzes 2,054 contested litigation cases in which the plaintiffs and defendants conducted settlement negotiations, decided to reject the adverse party's settlement proposal, and proceeded to arbitration or trial. The parties' settlement positions are compared with the ultimate award or verdict, revealing a high incidence of decision-making error by both plaintiffs and defendants. This study updates and enhances three prior studies of attorney/litigant decision making, increasing the number of cases in the primary data sets more than threefold, adding 72 explanatory variables from 19 classes, applying a multivariate analysis, presenting an historical review of error rates during the 1964–2004 period, and comparing the primary study error rates with error rates in cases where the parties are represented by attorney-mediators. Notwithstanding these enhancements, the incidence and relative cost of the decision-making errors in this study are generally consistent with the three prior empirical studies, demonstrating the robustness of the earlier works by Samuel Gross and Kent Syverud, and Jeffrey Rachlinski. The multivariate analysis, moreover, shows that the incidence of decision-making error is more significantly affected by “context” variables (e.g., case type and forum) than by “actor” variables (e.g., attorney gender and experience level).",05 September 2008,Journal of Empirical Legal Studies,"Volume 5, Issue 3", 551-591,https://onlinelibrary.wiley.com/doi/10.1111/j.1740-1461.2008.00133.x
456,General Civil Jury Trial Litigation in State and Federal Courts: A Statistical Portrait,Thomas H. Cohen,"Using data from the Civil Justice Survey of State Courts and the Administrative Office of the U.S. Courts, this article compares general civil (tort, contract, and real property) jury trials concluded in a sample of state courts and all federal district courts in 1992, 1996, and 2001. The study's key findings are: (1) that the types of civil cases coming before state and federal juries differ substantially; (2) that overall plaintiff win rates are nearly the same in both state and federal courts; (3) that the damages awarded to plaintiffs in federal courts are substantially higher compared to their state counterparts; (4) that although the vast majority of jury trials take place in the state courts, the federal courts accounted for a relatively significant minority of product liability trial litigation; (5) that state courts took substantially longer to dispose of civil jury trials than federal courts; and (6) that trend data show similar patterns of declining trials and stable plaintiff win rates in both court systems.",05 September 2008,Journal of Empirical Legal Studies,"Volume 5, Issue 3", 593-617,https://onlinelibrary.wiley.com/doi/10.1111/j.1740-1461.2008.00134.x
457,"Is There a Correlation Between Law Professor Publication Counts, Law Review Citation Counts, and Teaching Evaluations? An Empirical Study",Benjamin Barton,"This empirical study attempts to answer an age-old debate in legal academia: whether scholarly productivity helps or hurts teaching. The study is of an unprecedented size and scope. It covers every tenured or tenure-track faculty member at 19 U.S. law schools, a total of 623 professors. The study gathers four years of teaching evaluation data (calendar years 2000–2003) and tests for associations between the teaching data and five different measures of research productivity/scholarly influence. The results are counterintuitive: there is either no correlation or a slight positive correlation between teaching effectiveness and any of the five measures of research productivity. Given the breadth of the study, this finding is quite robust. These findings should help inform debates about teaching and scholarship among law school and other faculties and likely require some soul-searching about the interaction between the two most important functions of U.S. law schools.",05 September 2008,Journal of Empirical Legal Studies,"Volume 5, Issue 3", 619-644,https://onlinelibrary.wiley.com/doi/10.1111/j.1740-1461.2008.00135.x
458,Erratum,,,05 September 2008,Journal of Empirical Legal Studies,"Volume 5, Issue 3", 645-645,https://onlinelibrary.wiley.com/doi/10.1111/j.1740-1461.2008.00136.x
459,How Legal Representation Affects Case Outcomes: An Empirical Perspective from Taiwan,Kuo-Chang Huang,"Since the late 1980s, interdisciplinary scholars have conducted several empirical studies to examine to what extent legal representation affects case outcomes. Yet most of these empirical endeavors concentrate on legal representation in informal proceedings. This article revisits this question and reports the result of an independent empirical study using the official data on more than 100,000 civil cases terminated in Taiwan from 2000 to 2006. This study shows that cases are most unlikely to be settled when both parties are represented, while parties are most likely to settle a case when neither is represented. This study also shows that legal representation has no significant bearing on the case outcomes when the parties go to trial. A representation selection effect is proposed to explain these empirical results. This article argues that parties are quite apt to make deliberate and reasonable decisions on whether to seek legal representation in Taiwan and that the continental judge's active role in the adjudication process helps to explain why pro se litigants fare reasonably well in formal litigation. This study suggests that the influence of lawyers on how a case is disposed of in Taiwan may not be as strong as their colleagues' influence in the United States.",08 May 2008,Journal of Empirical Legal Studies,"Volume 5, Issue 2", 197-238,https://onlinelibrary.wiley.com/doi/10.1111/j.1740-1461.2008.00123.x
460,Brandeis' Policeman: Results from a Laboratory Experiment on How to Prevent Corporate Fraud,"Michael D. Guttentag, Christine L. Porath, Samuel N. Fraidin","We use a laboratory experiment to study how to prevent corporate fraud. Our experiment is the first to replicate the salient features of corporate fraud in a controlled setting. We find that requiring additional disclosures significantly reduces fraud. This finding runs counter to implications from previous research, but that research does not include many of the defining aspects of corporate fraud. Our results support the federal government's continued reliance on disclosure as a way to reduce fraud, a reliance that dates back to Louis Brandeis' observation that “publicity is justly commended as a remedy for social and industrial diseases. Sunlight is said to be the best of disinfectants; electric light the most efficient policeman.”",08 May 2008,Journal of Empirical Legal Studies,"Volume 5, Issue 2", 239-273,https://onlinelibrary.wiley.com/doi/10.1111/j.1740-1461.2008.00124.x
